,Filename,Predictions,Actual
0,RS10/image10.jpeg,RS10,RS10
1,RS10/image11.jpeg,RS10,RS10
2,RS10/image12.jpeg,RS10,RS10
3,RS10/image13.jpeg,RS10,RS10
4,RS10/image14.jpeg,RS10,RS10
5,RS10/image15.jpeg,RS10,RS10
6,RS10/image16.jpeg,RS10,RS10
7,RS10/image17.jpeg,RS10,RS10
8,RS10/image18.jpeg,RS10,RS10
9,RS10/image7.jpeg,RS10,RS10
10,RS10/image8.jpeg,RS10,RS10
11,RS10/image9.jpeg,RS10,RS10
12,RS10/images0.jpg,RS10,RS10
13,RS10/images10.jpg,RS10,RS10
14,RS10/images106.jpg,RS10,RS10
15,RS10/images107.jpg,RS50,RS10
16,RS10/images11.jpg,RS10,RS10
17,RS10/images111.jpg,RS10,RS10
18,RS10/images119.jpg,RS10,RS10
19,RS10/images12.jpg,RS10,RS10
20,RS10/images123.jpg,RS10,RS10
21,RS10/images14.jpg,RS10,RS10
22,RS10/images17.jpg,RS10,RS10
23,RS10/images2.jpg,RS10,RS10
24,RS10/images20.jpg,RS10,RS10
25,RS10/images22.jpg,RS10,RS10
26,RS10/images23.jpg,RS10,RS10
27,RS10/images24.jpg,RS10,RS10
28,RS10/images3.jpg,RS500,RS10
29,RS10/images32.jpg,RS10,RS10
30,RS10/images33.jpg,RS10,RS10
31,RS10/images37.jpg,RS50,RS10
32,RS10/images38.jpg,RS10,RS10
33,RS10/images50.jpg,RS10,RS10
34,RS10/images58.jpg,RS10,RS10
35,RS10/images59.jpg,RS10,RS10
36,RS10/images61.jpg,RS200,RS10
37,RS10/images64.jpg,RS10,RS10
38,RS10/images66.jpg,RS10,RS10
39,RS10/images71.jpg,RS10,RS10
40,RS10/images73.jpg,RS10,RS10
41,RS10/images79.jpg,RS10,RS10
42,RS10/images82.jpg,RS20,RS10
43,RS10/images85.jpg,RS50,RS10
44,RS10/images86.jpg,RS10,RS10
45,RS10/images90.jpg,RS10,RS10
46,RS10/images91.jpg,RS50,RS10
47,RS10/images92.jpg,RS100,RS10
48,RS10/images94.jpg,RS100,RS10
49,RS10/images95.jpg,RS10,RS10
50,RS10/images96.jpg,RS10,RS10
51,RS10/images97.jpg,RS10,RS10
52,RS100/images130.jpg,RS100,RS100
53,RS100/images132.jpg,RS100,RS100
54,RS100/images133.jpg,RS100,RS100
55,RS100/images137.jpg,RS100,RS100
56,RS100/images142.jpg,RS100,RS100
57,RS100/images144.jpg,RS100,RS100
58,RS100/images146.jpg,RS100,RS100
59,RS100/images151.jpg,RS100,RS100
60,RS100/images153.jpg,RS100,RS100
61,RS100/images155.jpg,RS100,RS100
62,RS100/images157.jpg,RS50,RS100
63,RS100/images158.jpg,RS100,RS100
64,RS100/images160.jpg,RS100,RS100
65,RS100/images162.jpg,RS100,RS100
66,RS100/images166.jpg,RS100,RS100
67,RS100/images168.jpg,RS100,RS100
68,RS100/images172.jpg,RS100,RS100
69,RS100/images174.jpg,RS100,RS100
70,RS100/images175.jpg,RS50,RS100
71,RS100/images176.jpg,RS100,RS100
72,RS100/images184.jpg,RS100,RS100
73,RS100/images185.jpg,RS100,RS100
74,RS100/images188.jpg,RS100,RS100
75,RS100/images190.jpg,RS100,RS100
76,RS100/images191.jpg,RS100,RS100
77,RS100/images192.jpg,RS100,RS100
78,RS100/images193.jpg,RS10,RS100
79,RS100/images194.jpg,RS100,RS100
80,RS100/images195.jpg,RS100,RS100
81,RS100/images196.jpg,RS50,RS100
82,RS100/images197.jpg,RS100,RS100
83,RS100/images199.jpg,RS100,RS100
84,RS100/images204.jpg,RS100,RS100
85,RS100/images206.jpg,RS100,RS100
86,RS100/images207.jpg,RS100,RS100
87,RS100/images209.jpg,RS100,RS100
88,RS100/images210.jpg,RS100,RS100
89,RS100/images212.jpg,RS100,RS100
90,RS100/images213.jpg,RS100,RS100
91,RS100/images219.jpg,RS100,RS100
92,RS100/images221.jpg,RS100,RS100
93,RS100/images222.jpg,RS50,RS100
94,RS100/images223.jpg,RS100,RS100
95,RS100/images224.jpg,RS100,RS100
96,RS100/images227.jpg,RS100,RS100
97,RS100/images229.jpg,RS100,RS100
98,RS100/images231.jpg,RS100,RS100
99,RS100/images232.jpg,RS100,RS100
100,RS100/images233.jpg,RS100,RS100
101,RS100/images234.jpg,RS100,RS100
102,RS100/images235.jpg,RS100,RS100
103,RS100/images238.jpg,RS50,RS100
104,RS100/images240.jpg,RS100,RS100
105,RS100/images246.jpg,RS100,RS100
106,RS100/images256.jpg,RS100,RS100
107,RS100/images257.jpg,RS100,RS100
108,RS100/images258.jpg,RS100,RS100
109,RS100/images260.jpg,RS100,RS100
110,RS100/images262.jpg,RS100,RS100
111,RS100/images266.jpg,RS100,RS100
112,RS100/images270.jpg,RS100,RS100
113,RS100/images272.jpg,RS100,RS100
114,RS100/images274.jpg,RS100,RS100
115,RS100/images279.jpg,RS100,RS100
116,RS100/images282.jpg,RS500,RS100
117,RS100/images283.jpg,RS100,RS100
118,RS100/images287.jpg,RS100,RS100
119,RS100/images289.jpg,RS500,RS100
120,RS100/images291.jpg,RS100,RS100
121,RS100/images295.jpg,RS100,RS100
122,RS100/images299.jpg,RS100,RS100
123,RS100/images304.jpg,RS50,RS100
124,RS100/images305.jpg,RS100,RS100
125,RS100/images311.jpg,RS100,RS100
126,RS100/images314.jpg,RS100,RS100
127,RS100/images316.jpg,RS100,RS100
128,RS100/images319.jpg,RS100,RS100
129,RS100/images320.jpg,RS100,RS100
130,RS100/images325.jpg,RS50,RS100
131,RS20/1200px-India_P-089A_20_Rupees_Gandhi_20022C_obverse.jpg,RS20,RS20
132,RS20/1556364079-9156.jpg,RS20,RS20
133,RS20/166665749_15801898881_large.jpg,RS20,RS20
134,RS20/166679450_15802757071_large.jpg,RS20,RS20
135,RS20/20-Rupees-Note-Dr.C.Rangarajan-1992.jpg,RS20,RS20
136,RS20/20-Rupees-Note-Of-2001.jpg,RS20,RS20
137,RS20/20-Rupees-Note-R.N.Malhotra-1990.jpg,RS20,RS20
